,Player,Player_url,Duration_2019,Type_2019,Season
95,Timothy Fosu-Mensah,https://www.transfermarkt.com/timothy-fosu-mensah/profil/spieler/315131,298,"Hamstring Injury , Cruciate Ligament Rupture ,",2019
96,Scott McTominay,https://www.transfermarkt.com/scott-mctominay/profil/spieler/315969,52,"Unknown Injury , Unknown Injury ,",2019
97,Nemanja Matic,https://www.transfermarkt.com/nemanja-matic/profil/spieler/74683,111,"Rest , Stomach complaints , Adductor problems , Shinbone injury , Unknown Injury ,",2019
98,Paul Pogba,https://www.transfermarkt.com/paul-pogba/profil/spieler/122153,58,"Unknown Injury , Hamstring Injury , Tear in the abductor muscle , Groin Strain ,",2019
99,Angel Gomes,https://www.transfermarkt.com/angel-gomes/profil/spieler/392770,10,"Unknown Injury ,",2019
100,Bruno Fernandes,https://www.transfermarkt.com/bruno-fernandes/profil/spieler/240306,10,"Ill ,",2019
101,Jesse Lingard,https://www.transfermarkt.com/jesse-lingard/profil/spieler/141660,110,"Hamstring Injury , Bruise , Ill , Hamstring Injury , Ill ,",2019
102,Juan Mata,https://www.transfermarkt.com/juan-mata/profil/spieler/44068,20,"Fitness ,",2019
103,Marcus Rashford,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,8,"Leg Injury ,",2019
104,Daniel James,https://www.transfermarkt.com/daniel-james/profil/spieler/319301,19,"Hamstring Injury ,",2019
105,Mason Greenwood,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,46,"Corona virus , Unknown Injury ,",2019
106,Anthony Martial,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,69,"Hip Injury , Unknown Injury , Back Injury , Achilles Irritation , Hamstring Injury , Muscle Injury ,",2019
107,Odion Ighalo,https://www.transfermarkt.com/odion-ighalo/profil/spieler/62121,70,"Hamstring Injury , Unknown Injury ,",2019
108,Bernd Leno,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476,35,"Stretched Ligament ,",2019
109,Sokratis Papastathopoulos,https://www.transfermarkt.com/sokratis-papastathopoulos/profil/spieler/34322,49,"Biceps femoris muscle injury , Contracture , Muscular problems , Muscular problems ,",2019
110,Shkodran Mustafi,https://www.transfermarkt.com/shkodran-mustafi/profil/spieler/88590,30,"Muscle Injury , Muscle Injury ,",2019
111,Rob Holding,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,269,"Fitness ,",2019
112,Konstantinos Mavropanos,https://www.transfermarkt.com/konstantinos-mavropanos/profil/spieler/415912,126,"Adductor problems ,",2019
113,Kieran Tierney,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,135,"Knee Surgery , Ankle problems , Knee Injury , Knee Injury , Virus Infection ,",2019
114,Sead Kolasinac,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,75,"Adductor problems , Knock , Ankle Injury ,",2019
115,Nacho Monreal,https://www.transfermarkt.com/nacho-monreal/profil/spieler/43003,140,"Knee Injury , Hamstring Injury , Hamstring Injury , Muscle Injury , Calf Injury ,",2019
116,Héctor Bellerín,https://www.transfermarkt.com/hector-bellerin/profil/spieler/191217,270,"Unknown Injury , Muscle Injury , Hamstring Injury ,",2019
117,Calum Chambers,https://www.transfermarkt.com/calum-chambers/profil/spieler/215118,22,"Cruciate Ligament Rupture , Knock ,",2019
118,Cédric Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,46,"Calf Strain , Nasal Bone Fracture ,",2019
119,Lucas Torreira,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077,12,"Torn Collateral Ligament , Abdominal muscles injury , Unknown Injury , Corona virus , Corona virus ,",2019
120,Granit Xhaka,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455,46,"Medial Collateral Ligament Injury , Ankle Injury , Concussion ,",2019
121,Henrikh Mkhitaryan,https://www.transfermarkt.com/henrikh-mkhitaryan/profil/spieler/55735,70,"Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2019
