,Player,Player_url,Duration_2018,Type_2018,Season,Duration_2019,Type_2019,Duration_2020,Type_2020,Duration_2021,Type_2021,Duration_2022,Type_2022,Duration_2023,Type_2023
10,Fabian Delph,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,61.0,"Muscle Injury , Knee Injury , Calf Problems ,",2018,75.0,"Hamstring Injury , Shoulder Injury , Hamstring Injury ,",364.0,"Hamstring Injury , Shoulder Injury , Hamstring Injury , Bruise , Calf Injury , Muscle Injury ,",168.0,"Hamstring Injury , Bruise , Hamstring Injury , Bruise ,",,,,
11,David Silva,https://www.transfermarkt.com/david-silva/profil/spieler/35518,11.0,"Unknown Injury ,",2018,33.0,"Calf Problems , Hamstring Injury ,",30.0,"Calf Problems , Hamstring Injury , Muscle Injury ,",78.0,"Hamstring Injury , Muscle Injury , Muscle Injury , Hamstring Injury , Corona virus ,",52.0,"Muscle Injury , Muscle Injury ,",,
12,Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,35.0,"Hamstring Injury , Back trouble ,",2018,12.0,"Hamstring Injury ,",22.0,"Hamstring Injury ,",10.0,"Knock , Calf Strain ,",,,82.0,"Hamstring Injury , Knee Problems , Hamstring Injury , Hamstring Injury , Knee Problems ,"
13,Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,50.0,"Foot Injury ,",2018,,,10.0,"Appendectomy ,",,,39.0,"Foot Injury ,",44.0,"Appendectomy , Appendectomy ,"
14,Leroy Sané,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565,21.0,"Torn Ligament , Cold ,",2018,,,217.0,"Knee Problems ,",24.0,"Tear in a joint capsule ,",10.0,"Corona virus ,",36.0,"Knee Problems , Torn Muscle Fibre , Knee Problems , Torn Muscle Fibre ,"
15,Patrick Roberts,https://www.transfermarkt.com/patrick-roberts/profil/spieler/225452,113.0,"Thigh Problems , Knock ,",2018,154.0,"Hamstring Injury , Hamstring Injury , Thigh Problems , Knock ,",,,,,,,,
16,Gabriel Jesus,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,74.0,"Torn Knee Ligament , Fracture of the orbit ,",2018,23.0,"Knee Injury , Knee Injury , Corona virus ,",32.0,"Knee Injury , Knee Injury ,",73.0,"Corona virus , Knock , Knock , Corona virus , Knock ,",,,198.0,"Knee Injury , Knee Injury ,"
17,Sergio Agüero,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399,101.0,"Knee Injury , Knee Injury , Fractured Rib , Fractured Rib ,",2018,34.0,"Heart Condition , Calf Injury , Corona virus , Knock ,",163.0,"Heart Condition , Calf Injury , Corona virus ,",75.0,"Corona virus , Knock , Knee Injury , Hamstring Injury ,",,,,
18,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,4.0,"Muscular problems ,",2018,,,147.0,"Corona virus , Ill ,",47.0,"Ill , Hip Injury , Shoulder Injury , Ill , Ill ,",14.0,"Corona virus , Corona virus ,",,
19,Loris Karius,https://www.transfermarkt.com/loris-karius/profil/spieler/85864,14.0,"Concussion ,",2018,5.0,"Foot Injury ,",14.0,"Foot Injury ,",15.0,"Foot Injury ,",,,,
