,Player,Player_url,Duration_2021,Type_2021,Season
112,Rodrigo Bentancur,https://www.transfermarkt.com/rodrigo-bentancur/profil/spieler/354362,14,"Corona virus ,",2021
113,Ryan Sessegnon,https://www.transfermarkt.com/ryan-sessegnon/profil/spieler/392775,47,"Knock , Quarantine ,",2021
114,Giovani Lo Celso,https://www.transfermarkt.com/giovani-lo-celso/profil/spieler/348795,134,"Hamstring Injury , Knock , Muscle Injury , Thigh Muscle Strain ,",2021
115,Dele Alli,https://www.transfermarkt.com/dele-alli/profil/spieler/207929,36,"tendon irritation , tendon irritation ,",2021
116,Heung-min Son,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,56,"Hamstring Injury , Hamstring Injury , Hamstring Injury , Hamstring Injury ,",2021
117,Bryan Gil,https://www.transfermarkt.com/bryan-gil/profil/spieler/537382,3,"Influenza ,",2021
118,Steven Bergwijn,https://www.transfermarkt.com/steven-bergwijn/profil/spieler/284165,27,"Unknown Injury , Knock , Knock ,",2021
119,Dejan Kulusevski,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755,7,"Corona virus ,",2021
120,Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,36,"Ankle Injury , Ankle Injury , Unknown Injury , Ankle Injury , Ankle Injury , Unknown Injury ,",2021
121,Gabriel Magalhães,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,48,"Corona virus , Ill ,",2021
122,Rob Holding,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,14,"Hamstring Injury ,",2021
123,Pablo Marí,https://www.transfermarkt.com/pablo-mari/profil/spieler/210178,196,"Calf Injury , Ankle Injury ,",2021
124,Sead Kolasinac,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,50,"Knock , Corona virus , Knock , Corona virus ,",2021
125,Kieran Tierney,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,115,"Knee Injury , Knee Injury , Virus Infection , Groin Injury , Knee Injury ,",2021
126,Nuno Tavares,https://www.transfermarkt.com/nuno-tavares/profil/spieler/535955,31,"Ankle Injury , Corona virus , Hip Injury ,",2021
127,Takehiro Tomiyasu,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,61,"Knee Problems , Muscular problems , Calf Injury , Knee Problems ,",2021
128,Cédric Soares,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,62,"Calf Strain , Calf Strain ,",2021
129,Thomas Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,81,"Hamstring Injury , Hip Injury , Muscle Injury ,",2021
130,Mohamed Elneny,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,24,"Virus Infection , Virus Infection ,",2021
131,Albert Sambi Lokonga,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967,15,"Adductor problems ,",2021
132,Salah-Eddine Oulad M'Hand,https://www.transfermarkt.com/salah-eddine-oulad-mhand/profil/spieler/559330,283,"Fatigue fracture ,",2021
133,Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,80,"Ankle Injury , Knock , Muscle Injury , Calf Injury , Knee Problems ,",2021
134,Emile Smith Rowe,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,92,"Shoulder Injury , Shoulder Injury ,",2021
135,Gabriel Martinelli,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,9,"Ankle Injury , Calf Injury ,",2021
136,Bukayo Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,10,"Hip problems , Ankle Injury , Hamstring Injury ,",2021
137,Nicolas Pépé,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,4,"Muscle Fatigue ,",2021
138,Reiss Nelson,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,64,"Head Injury , Knee Injury ,",2021
139,Pierre-Emerick Aubameyang,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,43,"Malaria , Knock , Calf Injury ,",2021
140,Alexandre Lacazette,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,1,"Head Injury ,",2021
141,Wesley Fofana,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411,44,"Thigh Muscle Strain , Knee Injury , Knee Injury ,",2021
142,Caglar Söyüncü,https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141,190,"Corona virus , Tear in the abductor muscle , Corona virus , Tear in the abductor muscle ,",2021
143,Jannik Vestergaard,https://www.transfermarkt.com/jannik-vestergaard/profil/spieler/99331,47,"Knee Injury ,",2021
144,Daniel Amartey,https://www.transfermarkt.com/daniel-amartey/profil/spieler/214056,75,"Hamstring Injury ,",2021
145,Jonny Evans,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,37,"Muscle Injury , Knock , Back Injury , Knock , Thigh Muscle Strain ,",2021
146,Filip Benkovic,https://www.transfermarkt.com/filip-benkovic/profil/spieler/293168,28,"Hip Injury ,",2021
147,Sam Hughes,https://www.transfermarkt.com/sam-hughes/profil/spieler/395797,337,"Cruciate Ligament Injury ,",2021
148,Ryan Bertrand,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,20,"Hamstring Injury ,",2021
149,Timothy Castagne,https://www.transfermarkt.com/timothy-castagne/profil/spieler/262226,268,"Fracture of the orbit , Thigh Muscle Strain , Thigh Muscle Strain , Fracture of the orbit , Thigh Muscle Strain , Thigh Muscle Strain ,",2021
150,James Justin,https://www.transfermarkt.com/james-justin/profil/spieler/413220,331,"Cruciate Ligament Rupture ,",2021
151,Wilfred Ndidi,https://www.transfermarkt.com/wilfred-ndidi/profil/spieler/274839,168,"Thigh Muscle Strain , Tear in the abductor muscle , Thigh Muscle Strain , Tear in the abductor muscle ,",2021
152,Nampalys Mendy,https://www.transfermarkt.com/nampalys-mendy/profil/spieler/111051,12,"Neck Injury , Neck Injury ,",2021
153,Dennis Praet,https://www.transfermarkt.com/dennis-praet/profil/spieler/129588,85,"Hamstring Injury , Knee Injury ,",2021
154,James Maddison,https://www.transfermarkt.com/james-maddison/profil/spieler/294057,145,"Hip Injury , Knee Injury , Knee Injury , Knee Injury , Hamstring Injury , Hip Injury ,",2021
155,Harvey Barnes,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065,122,"Knee Injury ,",2021
156,Ayoze Pérez,https://www.transfermarkt.com/ayoze-perez/profil/spieler/246968,23,"Knee Injury , Calf Injury ,",2021
157,Ademola Lookman,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040,13,"Muscular problems ,",2021
158,Patson Daka,https://www.transfermarkt.com/patson-daka/profil/spieler/365172,66,"Hamstring Injury , Hamstring Injury ,",2021
159,Jamie Vardy,https://www.transfermarkt.com/jamie-vardy/profil/spieler/197838,27,"Groin Surgery , Groin Injury , Calf Strain ,",2021
160,Viljami Sinisalo,https://www.transfermarkt.com/viljami-sinisalo/profil/spieler/484838,79,"Groin Injury , Knock , Groin Injury ,",2021
161,Ezri Konsa,https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403,12,"Bruise ,",2021
162,Axel Tuanzebe,https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,123,"Ankle Injury ,",2021
163,Kortney Hause,https://www.transfermarkt.com/kortney-hause/profil/spieler/233124,254,"Ankle Injury , Groin Injury , Ankle Injury ,",2021
164,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,46,"Ankle Injury ,",2021
165,Matt Targett,https://www.transfermarkt.com/matt-targett/profil/spieler/250478,1,"Knock ,",2021
166,Ashley Young,https://www.transfermarkt.com/ashley-young/profil/spieler/14086,26,"Corona virus , Corona virus ,",2021
167,Frédéric Guilbert,https://www.transfermarkt.com/frederic-guilbert/profil/spieler/354352,70,"Chest injury ,",2021
168,John McGinn,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116,6,"Quarantine , Quarantine ,",2021
169,Morgan Sanson,https://www.transfermarkt.com/morgan-sanson/profil/spieler/174094,176,"Knee Problems , Muscle Injury , Contracture ,",2021
170,Conor Hourihane,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,26,"Hamstring Injury , Hamstring Injury ,",2021
171,Leon Bailey,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626,14,"Quarantine ,",2021
172,Philippe Coutinho,https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444,466,"Rupture of Outer Meniscus , Hamstring Injury , Rupture of Outer Meniscus ,",2021
