,Player,Player_url,Duration,Type,Season
96,Romelu Lukaku,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341,24.0,"Ankle Injury , Head Injury ,",2018
97,Anthony Martial,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,14.0,"Thigh Problems ,",2018
98,Alexis Sánchez,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433,19.0,"Abdominal Strain , Influenza ,",2018
99,Bernd Leno,https://www.transfermarkt.com/bernd-leno/profil/spieler/72476,3.0,"Stretched Ligament ,",2018
100,David Ospina,https://www.transfermarkt.com/david-ospina/profil/spieler/73396,31.0,"Shoulder Injury , groin strain ,",2018
101,Shkodran Mustafi,https://www.transfermarkt.com/shkodran-mustafi/profil/spieler/88590,60.0,"Thigh Muscle Strain , Hamstring Injury ,",2018
102,Sokratis Papastathopoulos,https://www.transfermarkt.com/sokratis-papastathopoulos/profil/spieler/34322,10.0,"Fractured Rib , Ankle problems , Foot Injury , Gastric problems , Knock ,",2018
103,Sead Kolasinac,https://www.transfermarkt.com/sead-kolasinac/profil/spieler/94005,10.0,"Ankle problems ,",2018
104,Laurent Koscielny,https://www.transfermarkt.com/laurent-koscielny/profil/spieler/76277,223.0,"Achilles tendon rupture , Knock , Achilles tendon problems ,",2018
105,Julio Pleguezuelo,https://www.transfermarkt.com/julio-pleguezuelo/profil/spieler/251885,56.0,"Tear in the abductor muscle ,",2018
106,Nacho Monreal,https://www.transfermarkt.com/nacho-monreal/profil/spieler/43003,39.0,"Knock , Ankle Injury ,",2018
107,Calum Chambers,https://www.transfermarkt.com/calum-chambers/profil/spieler/215118,58.0,"Hip Injury ,",2018
108,Carl Jenkinson,https://www.transfermarkt.com/carl-jenkinson/profil/spieler/126321,292.0,"Shoulder Injury , Shoulder Injury ,",2018
109,Stephan Lichtsteiner,https://www.transfermarkt.com/stephan-lichtsteiner/profil/spieler/2865,23.0,"Muscular problems , Muscular problems ,",2018
110,Granit Xhaka,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455,9.0,"Bruised Knee , Flu ,",2018
111,Mohamed Elneny,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,20.0,"Ankle Injury ,",2018
112,Aaron Ramsey,https://www.transfermarkt.com/aaron-ramsey/profil/spieler/50057,88.0,"Groin Injury , Hamstring Injury , Groin Injury , Hamstring Injury ,",2018
113,Henrikh Mkhitaryan,https://www.transfermarkt.com/henrikh-mkhitaryan/profil/spieler/55735,23.0,"Knee Injury ,",2018
114,Mesut Özil,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,53.0,"Knee Problems , Back Injury , Knee inflammation , Ankle problems ,",2018
115,Denis Suárez,https://www.transfermarkt.com/denis-suarez/profil/spieler/165007,22.0,"Tear in the abductor muscle ,",2018
116,Takuma Asano,https://www.transfermarkt.com/takuma-asano/profil/spieler/245744,7.0,"Cold ,",2018
117,Alexandre Lacazette,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720,44.0,"Knee Injury ,",2018
118,Pierre-Emerick Aubameyang,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,10.0,"Rest , Hip problems , Hip problems , Hip problems , Hip problems , Muscular problems , Cold ,",2018
119,Danny Welbeck,https://www.transfermarkt.com/danny-welbeck/profil/spieler/67063,57.0,"Groin Strain , Hip Injury ,",2018
120,Maarten Stekelenburg,https://www.transfermarkt.com/maarten-stekelenburg/profil/spieler/4311,416.0,"Groin Injury , Groin Injury ,",2018
121,Michael Keane,https://www.transfermarkt.com/michael-keane/profil/spieler/118534,8.0,"Cut ,",2018
123,Yerry Mina,https://www.transfermarkt.com/yerry-mina/profil/spieler/289446,70.0,"Metatarsal Fracture ,",2018
124,Mason Holgate,https://www.transfermarkt.com/mason-holgate/profil/spieler/348623,54.0,"Ankle Injury ,",2018
125,Cuco Martina,https://www.transfermarkt.com/cuco-martina/profil/spieler/91251,16.0,"Concussion ,",2018
126,Phil Jagielka,https://www.transfermarkt.com/phil-jagielka/profil/spieler/13520,23.0,"Thigh Problems ,",2018
127,Lucas Digne,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664,24.0,"Hamstring Injury , Finger Injury ,",2018
128,Leighton Baines,https://www.transfermarkt.com/leighton-baines/profil/spieler/13507,188.0,"Calf Injury , Calf Injury ,",2018
129,Seamus Coleman,https://www.transfermarkt.com/seamus-coleman/profil/spieler/68390,21.0,"Thigh Muscle Strain ,",2018
130,Morgan Schneiderlin,https://www.transfermarkt.com/morgan-schneiderlin/profil/spieler/56818,8.0,"Toe Injury ,",2018
131,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,39.0,"Gastric problems , Hamstring Injury , Abdominal Influenza ,",2018
132,James McCarthy,https://www.transfermarkt.com/james-mccarthy/profil/spieler/45333,1004.0,"Tibia and Fibula Fracture , Hamstring Injury , Knee Injury , Tibia and Fibula Fracture , Hamstring Injury , Knee Injury ,",2018
133,Gylfi Sigurdsson,https://www.transfermarkt.com/gylfi-sigurdsson/profil/spieler/90466,164.0,"Knee Injury , Knee Injury ,",2018
134,Bernard,https://www.transfermarkt.com/bernard/profil/spieler/175169,115.0,"Shoulder Injury , Arm Injury ,",2018
135,Henry Onyekuru,https://www.transfermarkt.com/henry-onyekuru/profil/spieler/380415,120.0,"Medial Collateral Ligament Knee Injury ,",2018
136,Dominic Calvert-Lewin,https://www.transfermarkt.com/dominic-calvert-lewin/profil/spieler/306024,68.0,"Back Injury ,",2018
137,Sandro Ramírez,https://www.transfermarkt.com/sandro-ramirez/profil/spieler/199369,11.0,"Heel Bone Injury ,",2018
138,Kasper Schmeichel,https://www.transfermarkt.com/kasper-schmeichel/profil/spieler/16911,29.0,"Ankle Injury ,",2018
139,Danny Ward,https://www.transfermarkt.com/danny-ward/profil/spieler/203026,77.0,"Back Injury ,",2018
140,Caglar Söyüncü,https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141,7.0,"Muscular problems , Bruise ,",2018
141,Jonny Evans,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,62.0,"Thigh Problems , Thigh Problems ,",2018
142,Daniel Amartey,https://www.transfermarkt.com/daniel-amartey/profil/spieler/214056,72.0,"Hamstring Injury ,",2018
143,Wes Morgan,https://www.transfermarkt.com/wes-morgan/profil/spieler/10003,45.0,"Hamstring contusion ,",2018
144,Ben Chilwell,https://www.transfermarkt.com/ben-chilwell/profil/spieler/316125,59.0,"Ankle Injury ,",2018
145,Christian Fuchs,https://www.transfermarkt.com/christian-fuchs/profil/spieler/6636,9.0,"Eye Injury ,",2018
146,Ricardo Pereira,https://www.transfermarkt.com/ricardo-pereira/profil/spieler/215876,31.0,"Thigh Muscle Strain , Muscle Injury ,",2018
147,Danny Simpson,https://www.transfermarkt.com/danny-simpson/profil/spieler/37442,38.0,"Achilles tendon problems , Hamstring Injury ,",2018
148,Wilfred Ndidi,https://www.transfermarkt.com/wilfred-ndidi/profil/spieler/274839,31.0,"Hamstring Injury ,",2018
149,Vicente Iborra,https://www.transfermarkt.com/vicente-iborra/profil/spieler/65467,66.0,"Hamstring Injury , Hamstring Injury ,",2018
150,Youri Tielemans,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565,49.0,"Meniscal Injury ,",2018
151,Adrien Silva,https://www.transfermarkt.com/adrien-silva/profil/spieler/56810,6.0,"Fractured Rib ,",2018
152,Bartosz Kapustka,https://www.transfermarkt.com/bartosz-kapustka/profil/spieler/246579,27.0,"Ill , Fitness ,",2018
153,Matty James,https://www.transfermarkt.com/matty-james/profil/spieler/73522,412.0,"Achilles tendon problems , Achilles tendon problems ,",2018
154,Rachid Ghezzal,https://www.transfermarkt.com/rachid-ghezzal/profil/spieler/118287,18.0,"Hamstring Injury ,",2018
155,Kelechi Iheanacho,https://www.transfermarkt.com/kelechi-iheanacho/profil/spieler/295330,4.0,"Fractured Finger ,",2018
156,Islam Slimani,https://www.transfermarkt.com/islam-slimani/profil/spieler/174915,39.0,"Thigh Muscle Strain ,",2018
157,Shinji Okazaki,https://www.transfermarkt.com/shinji-okazaki/profil/spieler/79642,198.0,"Muscular problems , Ankle Injury , Muscular problems , Ankle Injury ,",2018
158,Issa Diop,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,35.0,"Back Injury ,",2018
159,Edimilson Fernandes,https://www.transfermarkt.com/edimilson-fernandes/profil/spieler/247555,144.0,"Injury to the ankle , Sprained Ankle ,",2018
160,Winston Reid,https://www.transfermarkt.com/winston-reid/profil/spieler/37526,535.0,"Knee Injury , Tonsillitis , groin strain , Calf Strain ,",2018
161,Reece Oxford,https://www.transfermarkt.com/reece-oxford/profil/spieler/314295,80.0,"Torn Muscle Fibre , Distortion of the ankle , Ankle problems ,",2018
162,Sam Byram,https://www.transfermarkt.com/sam-byram/profil/spieler/236953,236.0,"Ankle Injury , Thigh Muscle Strain ,",2018
163,Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,7.0,"Muscular problems ,",2018
164,Pedro Obiang,https://www.transfermarkt.com/pedro-obiang/profil/spieler/101213,248.0,"Knee Injury , Muscular problems , Knee Injury , Muscular problems ,",2018
165,Mark Noble,https://www.transfermarkt.com/mark-noble/profil/spieler/31835,15.0,"Hamstring Injury ,",2018
166,Manuel Lanzini,https://www.transfermarkt.com/manuel-lanzini/profil/spieler/135853,90.0,"Hamstring Injury , Knee Injury , Knee Injury ,",2018
167,Samir Nasri,https://www.transfermarkt.com/samir-nasri/profil/spieler/18935,86.0,"Unknown Injury , Unknown Injury , Unknown Injury ,",2018
168,Felipe Anderson,https://www.transfermarkt.com/felipe-anderson/profil/spieler/159372,128.0,"Tear in the abductor muscle ,",2018
169,Andriy Yarmolenko,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015,62.0,"Foot Injury ,",2018
170,Xande Silva,https://www.transfermarkt.com/xande-silva/profil/spieler/258011,19.0,"Hamstring Injury ,",2018
171,Marko Arnautovic,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384,25.0,"Muscle Injury , Ill , Ill ,",2018
172,Michail Antonio,https://www.transfermarkt.com/michail-antonio/profil/spieler/104124,212.0,"Hamstring Injury , Calf Problems , Bruised Rib ,",2018
173,Chicharito,https://www.transfermarkt.com/chicharito/profil/spieler/50935,31.0,"Knee Problems , Hamstring Injury ,",2018
174,Andy Carroll,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,99.0,"Injury to the ankle ,",2018
175,Lucas Pérez,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185,14.0,"Ill , Hamstring Injury ,",2018
176,Nathan Aké,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,12.0,"Ankle Injury ,",2018
177,Tyrone Mings,https://www.transfermarkt.com/tyrone-mings/profil/spieler/253677,221.0,"Back Injury ,",2018
178,Brad Smith,https://www.transfermarkt.com/brad-smith/profil/spieler/175745,272.0,"Hip Injury , Hip Injury ,",2018
180,Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,49.0,"Knee Injury ,",2018
181,Simon Francis,https://www.transfermarkt.com/simon-francis/profil/spieler/13573,28.0,"Hamstring Injury ,",2018
182,Jefferson Lerma,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980,74.0,"Muscle Injury , Muscle Injury , Muscle Injury ,",2018
